Idiom,WiktionaryURL,Pos,Neg,Neu,Inapprop.,Total,%Pos,%Neg,%Neu,sentiment,FilterOut(X),definition,idiom_id
about time,https://en.wiktionary.org/wiki/about_time,2,2,6,0,10,0.2,0.2,0.6,other,,Far past the desired time.,50.0
about to,https://en.wiktionary.org/wiki/about_to,0,0,10,0,10,0.0,0.0,1.0,other,,Indicates something that will happen very soon; indicates action that is imminent.,51.0
about turn,https://en.wiktionary.org/wiki/about_turn,0,0,10,0,10,0.0,0.0,1.0,other,,"A complete change of opinion, direction, etc. [First attested in the mid 20th century.][1]",52.0
above and beyond,https://en.wiktionary.org/wiki/above_and_beyond,8,0,2,0,10,0.8,0.0,0.2,positive,,,53.0
above and beyond the call of duty,https://en.wiktionary.org/wiki/above_and_beyond_the_call_of_duty,9,1,0,0,10,0.9,0.1,0.0,positive,,,54.0
above board,https://en.wiktionary.org/wiki/above_board,8,0,2,0,10,0.8,0.0,0.2,positive,,"Openly, without deceit. Honestly, reputably.",55.0
above the law,https://en.wiktionary.org/wiki/above_the_law,1,4,5,0,10,0.1,0.4,0.5,other,,Exempt from the laws that apply to everyone else.,
above water,https://en.wiktionary.org/wiki/above_water,8,0,2,0,10,0.8,0.0,0.2,positive,,"Out of difficulty, especially financial.",56.0
abstract idea,https://en.wiktionary.org/wiki/abstract_idea,0,0,10,0,10,0.0,0.0,1.0,other,,,57.0
accident of birth,https://en.wiktionary.org/wiki/accident_of_birth,0,4,6,0,10,0.0,0.4,0.6,other,,"A fact, situation, or personal characteristic, which may be desirable or undesirable, resulting from the circumstances into which a person was born, and which is therefore entirely beyond their control.",58.0
accident waiting to happen,https://en.wiktionary.org/wiki/accident_waiting_to_happen,0,9,0,1,10,0.0,0.9,0.0,negative,,A thing or situation which is almost certain to eventually lead to an accident,59.0
according to,https://en.wiktionary.org/wiki/according_to,0,0,10,0,10,0.0,0.0,1.0,other,,,60.0
ace in the hole,https://en.wiktionary.org/wiki/ace_in_the_hole,5,0,5,0,10,0.5,0.0,0.5,positive,,Synonym of ace up one's sleeve,61.0
ace up one's sleeve,https://en.wiktionary.org/wiki/ace_up_one's_sleeve,5,0,5,0,10,0.5,0.0,0.5,positive,,A surprise advantage of which others are not aware.,62.0
acquired taste,https://en.wiktionary.org/wiki/acquired_taste,3,0,7,0,10,0.3,0.0,0.7,other,,Something that is appreciated only after having initially been regarded as unappealing or unpleasant; a person who is regarded as difficult or dislikable but of whom at least some have grown to approve.,63.0
across the board,https://en.wiktionary.org/wiki/across_the_board,0,0,10,0,10,0.0,0.0,1.0,other,,Pertaining to all categories or things.,64.0
across the pond,https://en.wiktionary.org/wiki/across_the_pond,0,0,10,0,10,0.0,0.0,1.0,other,,,
act of Congress,https://en.wiktionary.org/wiki/act_of_Congress,0,2,8,0,10,0.0,0.2,0.8,other,,"Authorization that is extremely difficult to get, especially in a timely fashion.",65.0
act one's age,https://en.wiktionary.org/wiki/act_one's_age,3,0,7,0,10,0.3,0.0,0.7,other,,To behave in a manner appropriate to one's age.,66.0
act out,https://en.wiktionary.org/wiki/act_out,0,1,9,0,10,0.0,0.1,0.9,other,,"To perform a scene from a play, a charade or an exercise. To perform a fantasy in reality.",
act up,https://en.wiktionary.org/wiki/act_up,0,10,0,0,10,0.0,1.0,0.0,negative,,To misbehave; to cause trouble. To perform the duties of an appointment senior to that actually held; to deputise for a superior. (Can we add an example for this sense?),
add fuel to the fire,https://en.wiktionary.org/wiki/add_fuel_to_the_fire,0,10,0,0,10,0.0,1.0,0.0,negative,,To worsen a conflict between people; to inflame an already tense situation.,67.0
add insult to injury,https://en.wiktionary.org/wiki/add_insult_to_injury,0,10,0,0,10,0.0,1.0,0.0,negative,,To further a loss with mockery or indignity; to worsen an already unfavourable situation.,68.0
add oil,https://en.wiktionary.org/wiki/add_oil,4,0,6,0,10,0.4,0.0,0.6,other,,"Synonym of let's go: a cheer of encouragement, support, etc.",69.0
add up,https://en.wiktionary.org/wiki/add_up,2,0,8,0,10,0.2,0.0,0.8,other,,To make sense; to be reasonable or consistent.,70.0
adrenaline junkie,https://en.wiktionary.org/wiki/adrenaline_junkie,2,3,5,0,10,0.2,0.3,0.5,other,,,
after all,https://en.wiktionary.org/wiki/after_all,0,0,10,0,10,0.0,0.0,1.0,other,,"anyway, in any case; indicates a statement is true regardless of other considerations; used to reinforce or explain a point. in the end, however; used in referring to something that was believed to be the case, but is not; or to an outcome that is not what was expected or predicted.",71.0
after the fact,https://en.wiktionary.org/wiki/after_the_fact,0,4,6,0,10,0.0,0.4,0.6,other,,,72.0
again and again,https://en.wiktionary.org/wiki/again_and_again,0,1,9,0,10,0.0,0.1,0.9,other,,,73.0
against all odds,https://en.wiktionary.org/wiki/against_all_odds,5,2,3,0,10,0.5,0.2,0.3,positive,,Despite seemingly insurmountable opposition or probability.,74.0
against the clock,https://en.wiktionary.org/wiki/against_the_clock,1,2,7,0,10,0.1,0.2,0.7,other,,"In a time-restricted manner, to meet a deadline, hurriedly, timed.",75.0
against the grain,https://en.wiktionary.org/wiki/against_the_grain,0,6,4,0,10,0.0,0.6,0.4,negative,,"Contrary to what is expected; especially, of behavior different from what society expects. Unwillingly, reluctantly; contrary to one's nature.",76.0
against the law,https://en.wiktionary.org/wiki/against_the_law,0,9,1,0,10,0.0,0.9,0.1,negative,,,77.0
against the run of play,https://en.wiktionary.org/wiki/against_the_run_of_play,1,5,4,0,10,0.1,0.5,0.4,negative,,Contrary to the flow of the game.,
against the world,https://en.wiktionary.org/wiki/against_the_world,4,1,5,0,10,0.4,0.1,0.5,other,,"Together; as a group, unit, or couple.",78.0
age out,https://en.wiktionary.org/wiki/age_out,0,5,5,0,10,0.0,0.5,0.5,negative,,,
agree to disagree,https://en.wiktionary.org/wiki/agree_to_disagree,3,0,7,0,10,0.3,0.0,0.7,other,,To accept each other's opinions and cease arguing; to peacefully acknowledge that an agreement will not be reached.,79.0
agree with,https://en.wiktionary.org/wiki/agree_with,6,0,4,0,10,0.6,0.0,0.4,positive,,,80.0
agreement in principle,https://en.wiktionary.org/wiki/agreement_in_principle,4,0,6,0,10,0.4,0.0,0.6,other,,"A legally enforceable, but incompletely specified, agreement between parties that identifies the fundamental terms that are intended to be or are agreed upon.",81.0
aha moment,https://en.wiktionary.org/wiki/aha_moment,6,1,3,0,10,0.6,0.1,0.3,positive,,"The moment or instant at which the solution to a problem, or some other significant realization, becomes clear.",82.0
ahead of one's time,https://en.wiktionary.org/wiki/ahead_of_one's_time,5,0,5,0,10,0.5,0.0,0.5,positive,,In advance of concurrent commonly accepted ideas; showing characteristics of changes yet to be; present in one's work before later advances in the field.,
ahead of the curve,https://en.wiktionary.org/wiki/ahead_of_the_curve,10,0,0,0,10,1.0,0.0,0.0,positive,,Changing before competitors. Above average; generally performing well.,83.0
ahead of the game,https://en.wiktionary.org/wiki/ahead_of_the_game,7,0,3,0,10,0.7,0.0,0.3,positive,,"Having completed a task before it is due; ready, prepared, or anticipating.",84.0
aim at,https://en.wiktionary.org/wiki/aim_at,0,0,10,0,10,0.0,0.0,1.0,other,,,85.0
aim to,https://en.wiktionary.org/wiki/aim_to,0,0,10,0,10,0.0,0.0,1.0,other,,,86.0
air out,https://en.wiktionary.org/wiki/air_out,0,0,10,0,10,0.0,0.0,1.0,other,,"To expose to air; to leave open or spread out, as to allow odor or moisture to dissipate.",87.0
alarm bell,https://en.wiktionary.org/wiki/alarm_bell,0,1,9,0,10,0.0,0.1,0.9,other,,,88.0
alive and kicking,https://en.wiktionary.org/wiki/alive_and_kicking,10,0,0,0,10,1.0,0.0,0.0,positive,,"Healthy; vital; in good health, particularly in opposition to unfavorable circumstances.",89.0
all along,https://en.wiktionary.org/wiki/all_along,0,1,9,0,10,0.0,0.1,0.9,other,,For the entire time; always.,90.0
all and sundry,https://en.wiktionary.org/wiki/all_and_sundry,0,0,10,0,10,0.0,0.0,1.0,other,,,91.0
all at once,https://en.wiktionary.org/wiki/all_at_once,0,1,9,0,10,0.0,0.1,0.9,other,,Unexpectedly; without warning; all of a sudden.,92.0
all bets are off,https://en.wiktionary.org/wiki/all_bets_are_off,0,2,8,0,10,0.0,0.2,0.8,other,,"Indicates that a future event appears uncertain, especially one that before seemed more certain. Any prior agreements are no longer valid. Anything can happen; any previous preconceptions about what might happen are dismissed.",93.0
all ears,https://en.wiktionary.org/wiki/all_ears,2,0,8,0,10,0.2,0.0,0.8,other,,Listening intently; fully focused. Awaiting an explanation.,94.0
all eyes,https://en.wiktionary.org/wiki/all_eyes,2,0,8,0,10,0.2,0.0,0.8,other,,Watching alertly or attentively. Having prominent eyes. Gazing at devotedly.,
all hell breaks loose,https://en.wiktionary.org/wiki/all_hell_breaks_loose,0,10,0,0,10,0.0,1.0,0.0,negative,,The situation becomes chaotic or characterized by conflict or rage.,
all hell broke loose,https://en.wiktionary.org/wiki/all_hell_broke_loose,0,10,0,0,10,0.0,1.0,0.0,negative,,,
all holiday,https://en.wiktionary.org/wiki/all_holiday,1,4,5,0,10,0.1,0.4,0.5,other,,"A saying signifying that the business or person spoken of or alluded to is finished, i.e. that it has no future.",95.0
all in a day's work,https://en.wiktionary.org/wiki/all_in_a_day's_work,1,4,5,0,10,0.1,0.4,0.5,other,,,96.0
all it's cracked up to be,https://en.wiktionary.org/wiki/all_it's_cracked_up_to_be,5,3,2,0,10,0.5,0.3,0.2,positive,,As good as claims or reputation would suggest.,97.0
all kinds of,https://en.wiktionary.org/wiki/all_kinds_of,0,0,10,0,10,0.0,0.0,1.0,other,,,98.0
all nations,https://en.wiktionary.org/wiki/all_nations,0,0,10,0,10,0.0,0.0,1.0,other,,,99.0
all one's eggs in one basket,https://en.wiktionary.org/wiki/all_one's_eggs_in_one_basket,0,2,8,0,10,0.0,0.2,0.8,other,,,100.0
all out,https://en.wiktionary.org/wiki/all_out,4,1,5,0,10,0.4,0.1,0.5,other,,With maximum effort. Without regard for risk. Altogether; by far.,101.0
all over,https://en.wiktionary.org/wiki/all_over,0,0,10,0,10,0.0,0.0,1.0,other,,Over an entire extent. Everywhere. In every way; thoroughly. Everywhere; covering completely.,102.0
all over the board,https://en.wiktionary.org/wiki/all_over_the_board,1,0,9,0,10,0.1,0.0,0.9,other,,All over the map.,103.0
all over the map,https://en.wiktionary.org/wiki/all_over_the_map,0,1,9,0,10,0.0,0.1,0.9,other,,Widely scattered or distributed; numerous and differing greatly. In widely scattered directions; in a widely varying manner.,
all over the place,https://en.wiktionary.org/wiki/all_over_the_place,0,4,6,0,10,0.0,0.4,0.6,other,,"In multiple directions or locations, often haphazardly; everywhere. Inconsistent; lacking a clear pattern; with a large amount of variation.",104.0
all over with,https://en.wiktionary.org/wiki/all_over_with,0,1,9,0,10,0.0,0.1,0.9,other,,Completely finished; over.,105.0
all rights reserved,https://en.wiktionary.org/wiki/all_rights_reserved,1,0,9,0,10,0.1,0.0,0.9,other,,"The copyright holder of a creative work reserves all copyright-related rights, typically including the right to publish the work, to make derivative works of it, to distribute it, to make profit from it, to license a number of these rights to other people, and to forbid these uses by any unauthorized people, thus being entitled to take legal action against infringement.",106.0
all set,https://en.wiktionary.org/wiki/all_set,7,0,3,0,10,0.7,0.0,0.3,positive,,"Ready, prepared, equipped.",
all that,https://en.wiktionary.org/wiki/all_that,2,0,8,0,10,0.2,0.0,0.8,other,,Very.,107.0
all that jazz,https://en.wiktionary.org/wiki/all_that_jazz,0,0,10,0,10,0.0,0.0,1.0,other,,Everything else related to something; other similar things.,108.0
all the marbles,https://en.wiktionary.org/wiki/all_the_marbles,2,0,8,0,10,0.2,0.0,0.8,other,,everything; all that is to be had.,109.0
all the rage,https://en.wiktionary.org/wiki/all_the_rage,5,3,2,0,10,0.5,0.3,0.2,positive,,"Very fashionable and popular, like a craze.",110.0
all the same,https://en.wiktionary.org/wiki/all_the_same,1,0,9,0,10,0.1,0.0,0.9,other,,Anyway; nevertheless; nonetheless.,111.0
all the while,https://en.wiktionary.org/wiki/all_the_while,0,0,10,0,10,0.0,0.0,1.0,other,,"At the same time as, usually over an extended period.",112.0
all there,https://en.wiktionary.org/wiki/all_there,1,2,7,0,10,0.1,0.2,0.7,other,,Mentally competent; not absent-minded or insane.,
all things being equal,https://en.wiktionary.org/wiki/all_things_being_equal,1,0,9,0,10,0.1,0.0,0.9,other,,,113.0
all things considered,https://en.wiktionary.org/wiki/all_things_considered,0,0,10,0,10,0.0,0.0,1.0,other,,"all things considered (not comparable) (modal, idiomatic)",114.0
all things to all people,https://en.wiktionary.org/wiki/all_things_to_all_people,5,0,5,0,10,0.5,0.0,0.5,positive,,"Someone or something that entirely satisfies the expectations of everyone, no matter how diverse and conflicting those expectations may be.",115.0
all told,https://en.wiktionary.org/wiki/all_told,0,1,9,0,10,0.0,0.1,0.9,other,,"With everything included, counted, or summed; in total.",
all very well,https://en.wiktionary.org/wiki/all_very_well,7,0,3,0,10,0.7,0.0,0.3,positive,,"All right to a certain extent. True, as far as it goes.",
all wet,https://en.wiktionary.org/wiki/all_wet,0,7,3,0,10,0.0,0.7,0.3,negative,,Utterly incorrect; erroneous; uninformed. Deliberately and grotesquely untruthful.,116.0
almighty dollar,https://en.wiktionary.org/wiki/almighty_dollar,3,1,6,0,10,0.3,0.1,0.6,other,,"The dollar, satirically characterized as a god.",117.0
along about,https://en.wiktionary.org/wiki/along_about,0,0,10,0,10,0.0,0.0,1.0,other,,Approximately; at around some time.,118.0
along the lines,https://en.wiktionary.org/wiki/along_the_lines,0,0,10,0,10,0.0,0.0,1.0,other,,,119.0
also known as,https://en.wiktionary.org/wiki/also_known_as,0,0,10,0,10,0.0,0.0,1.0,other,,,120.0
amateur hour,https://en.wiktionary.org/wiki/amateur_hour,0,4,6,0,10,0.0,0.4,0.6,other,,"A situation or activity in which the participants show a lack of skill, sound judgment, or professionalism.",121.0
ambulance chasing,https://en.wiktionary.org/wiki/ambulance_chasing,0,4,6,0,10,0.0,0.4,0.6,other,,,122.0
an apple a day,https://en.wiktionary.org/wiki/an_apple_a_day,6,0,4,0,10,0.6,0.0,0.4,positive,,Healthy eating and living using traditional temperate-zone fresh foods.,123.0
an axe to grind,https://en.wiktionary.org/wiki/an_axe_to_grind,0,8,2,0,10,0.0,0.8,0.2,negative,,,
an offer one can't refuse,https://en.wiktionary.org/wiki/an_offer_one_can't_refuse,4,0,6,0,10,0.4,0.0,0.6,other,,An offer from one side in a transaction with terms so attractive that the other side is almost guaranteed to accept. A threatening offer by one party for which the results of failing to accept are so unattractive that the other party is almost compelled to accept.,124.0
ancient history,https://en.wiktionary.org/wiki/ancient_history,0,0,10,0,10,0.0,0.0,1.0,other,,That which happened a long time ago and not worth discussing any more.,125.0
and all,https://en.wiktionary.org/wiki/and_all,0,0,10,0,10,0.0,0.0,1.0,other,,"Including every object, attribute, or process associated with preceding item or series of items. Used to suggest certain unstated relevant implications or what has been stated.",126.0
and all this,https://en.wiktionary.org/wiki/and_all_this,0,1,9,0,10,0.0,0.1,0.9,other,,Used at the end of a statement to insinuate that there is more information that can be inferred from the preceding.,127.0
and be done with it,https://en.wiktionary.org/wiki/and_be_done_with_it,0,0,10,0,10,0.0,0.0,1.0,other,,,128.0
and change,https://en.wiktionary.org/wiki/and_change,0,1,9,0,10,0.0,0.1,0.9,other,,"and some quantity, but less than the increment to the next round number.",129.0
and counting,https://en.wiktionary.org/wiki/and_counting,0,0,10,0,10,0.0,0.0,1.0,other,,"used to show that the number previously mentioned is continuously changing, i.e. increasing or decreasing",
and finally,https://en.wiktionary.org/wiki/and_finally,0,0,10,0,10,0.0,0.0,1.0,other,,A light news story reserved for the end of a bulletin when there is a lack of more important items; typically involving animals or other features supposed to be amusing.,130.0
and his mother,https://en.wiktionary.org/wiki/and_his_mother,0,0,10,0,10,0.0,0.0,1.0,other,,"Serves as an intensifier for an inclusive noun or phrase such as everyone, anyone, each someone or all someones.",131.0
and how,https://en.wiktionary.org/wiki/and_how,0,0,10,0,10,0.0,0.0,1.0,other,,Used to strongly confirm the preceding utterance.,132.0
and shit,https://en.wiktionary.org/wiki/and_shit,0,6,0,4,10,0.0,0.6,0.0,negative,,"Used after one or more listed objects, attributes or processes to indicate additional others.",
and so forth,https://en.wiktionary.org/wiki/and_so_forth,0,0,10,0,10,0.0,0.0,1.0,other,,Indicates that a list continues in a similar manner.,133.0
and so on,https://en.wiktionary.org/wiki/and_so_on,0,0,10,0,10,0.0,0.0,1.0,other,,Used to indicate that a list continues in a similar manner.,134.0
and the like,https://en.wiktionary.org/wiki/and_the_like,0,0,10,0,10,0.0,0.0,1.0,other,,And other similar items; et cetera.,135.0
and then some,https://en.wiktionary.org/wiki/and_then_some,0,0,10,0,10,0.0,0.0,1.0,other,,"Used to confirm preceding utterance, while implying that what was said or asked is an understatement",136.0
and whatnot,https://en.wiktionary.org/wiki/and_whatnot,0,0,10,0,10,0.0,0.0,1.0,other,,And so on; et cetera,137.0
angle for,https://en.wiktionary.org/wiki/angle_for,0,0,10,0,10,0.0,0.0,1.0,other,,,138.0
angle of attack,https://en.wiktionary.org/wiki/angle_of_attack,0,1,9,0,10,0.0,0.1,0.9,other,,,139.0
answer back,https://en.wiktionary.org/wiki/answer_back,0,3,7,0,10,0.0,0.3,0.7,other,,,140.0
answer for,https://en.wiktionary.org/wiki/answer_for,0,0,10,0,10,0.0,0.0,1.0,other,,,141.0
answer on a postcard,https://en.wiktionary.org/wiki/answer_on_a_postcard,1,0,9,0,10,0.1,0.0,0.9,other,,A brief answer or opinion.,
answer to,https://en.wiktionary.org/wiki/answer_to,0,0,10,0,10,0.0,0.0,1.0,other,,,142.0
any old,https://en.wiktionary.org/wiki/any_old,0,0,10,0,10,0.0,0.0,1.0,other,,"Any, absolutely any, any typical, a run-of-the-mill.",
